Subject	Group	TrialNumber	TrialOrder	SuffixAmbiguity	Noun	Suffix	LemmaFrequency	NounLength	SuffixFrequency	SuffixProductivity	SuffixLength	IA_ID	DWELL_TIME	FIRST_FIXATION_DURATION	FIRST_RUN_FIXATION_COUNT	GAZE_DURATION	IA_SKIP	IA_FIRST_FIX_PROGRESSIVE	IA_REGRESSION_PATH_DURATION	IA_SELECTIVE_REGRESSION_PATH_DURATION	PROB_OF_REGRESSION
65a	a	75	34	vise	uvojak	ak	196	6	5345	165	2	4	484	268	2	484	0	1	484	484	0
65a	a	77	18	vise	ven?anica	nica	2496	9	2280	181	4	4	480	372	1	372	0	1	372	372	0
65a	a	41	44	jedno	ven?i?	iĂ„â€ˇ	320	6	868	104	2	4	252	252	1	252	0	1	252	252	0
65a	a	43	16	vise	vernik	nik	13410	6	6585	266	3	4	400	400	1	400	0	1	400	400	0
65a	a	45	15	jedno	zemljarina	arina	18	10	46	12	5	4	788	248	3	788	0	1	788	788	0
65a	a	79	11	jedno	zidi?	iĂ„â€ˇ	223	5	868	104	2	4	160	160	1	160	0	1	160	160	0
65a	a	81	20	vise	zvu?nik	nik	8794	7	6585	266	3	4	444	248	1	248	0	1	248	248	0
67a	a	47	39	vise	?lanak	ak	51490	6	5345	165	2	4	948	268	2	368	0	1	368	368	0
67a	a	49	32	vise	?vorina	ina	0.1	7	6155	225	3	4	1000	136	3	436	0	1	436	436	0
67a	a	7	28	jedno	?vrsto?a	oĂ„â€ˇa	1588	8	913	53	3	4	816	260	2	448	0	1	448	448	0
67a	a	1	3	jedno	an?el?e	Ă„Ĺ¤e	0.1	7	88	36	2	4	1492	232	2	428	0	1	428	428	0
67a	a	3	29	jedno	brijanje	nje	1268	8	23567	2144	3	4	220	220	1	220	0	1	220	220	0
67a	a	5	21	jedno	cveti?	iĂ„â€ˇ	799	6	868	104	2	4	488	244	1	244	0	1	244	244	0
